method,offset,target
staticinvoke <dummyMainClass: com.autostart.TimeOutReceiver dummyMainMethod_com_autostart_TimeOutReceiver(android.content.Intent)>(null),0,<dummyMainClass: com.autostart.TimeOutReceiver dummyMainMethod_com_autostart_TimeOutReceiver(android.content.Intent)>
staticinvoke <dummyMainClass: com.autostart.MyBroadcastreceiver dummyMainMethod_com_autostart_MyBroadcastreceiver(android.content.Intent)>(null),0,<dummyMainClass: com.autostart.MyBroadcastreceiver dummyMainMethod_com_autostart_MyBroadcastreceiver(android.content.Intent)>
staticinvoke <dummyMainClass: com.autostart.TimeOutHomeReceiver dummyMainMethod_com_autostart_TimeOutHomeReceiver(android.content.Intent)>(null),0,<dummyMainClass: com.autostart.TimeOutHomeReceiver dummyMainMethod_com_autostart_TimeOutHomeReceiver(android.content.Intent)>
staticinvoke <dummyMainClass: com.autostart.AutoStartActivity dummyMainMethod_com_autostart_AutoStartActivity(android.content.Intent)>(null),0,<dummyMainClass: com.autostart.AutoStartActivity dummyMainMethod_com_autostart_AutoStartActivity(android.content.Intent)>
$r1 = new android.view.View,0,<android.view.View: void <clinit>()>
$r1 = new android.view.View,0,<android.view.View: void <clinit>()>
$r1 = new android.view.View,0,<android.view.View: void <clinit>()>
$r0 = new com.autostart.AutoStartActivity,0,<android.app.Activity: void <clinit>()>
$r1 = new android.view.View,0,<android.view.View: void <clinit>()>
specialinvoke $r7.<com.autostart.AutoStartActivity$3: void <init>(com.autostart.AutoStartActivity)>($r0),0,<com.autostart.AutoStartActivity$3: void <init>(com.autostart.AutoStartActivity)>
"virtualinvoke $r7.<com.autostart.AutoStartActivity$3: void onCheckedChanged(android.widget.CompoundButton,boolean)>(null, 0)",0,"<com.autostart.AutoStartActivity$3: void onCheckedChanged(android.widget.CompoundButton,boolean)>"
$r7 = staticinvoke <com.autostart.AutoStartActivity: java.util.List access$7(com.autostart.AutoStartActivity)>($r5),0,<android.app.Activity: void <clinit>()>
"staticinvoke <com.autostart.AutoStartActivity: void access$8(com.autostart.AutoStartActivity,com.autostart.AutoStartActivity$IconifiedTextListAdapter)>($r2, $r3)",0,"<com.autostart.AutoStartActivity: void access$8(com.autostart.AutoStartActivity,com.autostart.AutoStartActivity$IconifiedTextListAdapter)>"
$r7 = staticinvoke <com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>($r5),0,<com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>
$r3 = staticinvoke <com.autostart.AutoStartActivity: com.autostart.AutoStartActivity$IconifiedTextListAdapter access$10(com.autostart.AutoStartActivity)>($r2),0,<com.autostart.AutoStartActivity: com.autostart.AutoStartActivity$IconifiedTextListAdapter access$10(com.autostart.AutoStartActivity)>
$r8 = staticinvoke <com.autostart.AutoStartActivity: android.widget.ListView access$9(com.autostart.AutoStartActivity)>($r2),0,<com.autostart.AutoStartActivity: android.widget.ListView access$9(com.autostart.AutoStartActivity)>
"staticinvoke <com.autostart.AutoStartActivity: void access$8(com.autostart.AutoStartActivity,com.autostart.AutoStartActivity$IconifiedTextListAdapter)>($r2, $r3)",0,"<com.autostart.AutoStartActivity: void access$8(com.autostart.AutoStartActivity,com.autostart.AutoStartActivity$IconifiedTextListAdapter)>"
$r7 = staticinvoke <com.autostart.AutoStartActivity: java.util.List access$7(com.autostart.AutoStartActivity)>($r5),0,<com.autostart.AutoStartActivity: java.util.List access$7(com.autostart.AutoStartActivity)>
$r7 = staticinvoke <com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>($r5),0,<android.app.Activity: void <clinit>()>
"specialinvoke $r3.<com.autostart.AutoStartActivity$IconifiedTextListAdapter: void <init>(com.autostart.AutoStartActivity,android.content.Context,java.util.List)>($r4, $r6, $r7)",0,"<com.autostart.AutoStartActivity$IconifiedTextListAdapter: void <init>(com.autostart.AutoStartActivity,android.content.Context,java.util.List)>"
"specialinvoke $r3.<com.autostart.AutoStartActivity$IconifiedTextListAdapter: void <init>(com.autostart.AutoStartActivity,android.content.Context,java.util.List)>($r4, $r6, $r7)",0,"<com.autostart.AutoStartActivity$IconifiedTextListAdapter: void <init>(com.autostart.AutoStartActivity,android.content.Context,java.util.List)>"
specialinvoke r0.<android.widget.BaseAdapter: void <init>()>(),0,<android.widget.BaseAdapter: void <init>()>
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
null,0,<java.lang.Object: void finalize()>
"specialinvoke $r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(""Stub!"")",0,<java.lang.RuntimeException: void <init>(java.lang.String)>
"specialinvoke $r1.<java.lang.RuntimeException: void <init>(java.lang.String)>(""Stub!"")",0,<java.lang.RuntimeException: void <init>(java.lang.String)>
specialinvoke r0.<java.lang.Exception: void <init>()>(),0,<java.lang.Exception: void <init>()>
"specialinvoke $r1.<java.lang.RuntimeException: void <init>(java.lang.String)>(""Stub!"")",0,<java.lang.RuntimeException: void <init>(java.lang.String)>
specialinvoke r0.<java.lang.Throwable: void <init>()>(),0,<java.lang.Throwable: void <init>()>
"specialinvoke $r1.<java.lang.RuntimeException: void <init>(java.lang.String)>(""Stub!"")",0,<java.lang.RuntimeException: void <init>(java.lang.String)>
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
"specialinvoke $r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(""Stub!"")",0,<java.lang.RuntimeException: void <init>(java.lang.String)>
specialinvoke $r6.<com.autostart.AutoStartActivity$2: void <init>(com.autostart.AutoStartActivity)>($r0),0,<com.autostart.AutoStartActivity$2: void <init>(com.autostart.AutoStartActivity)>
virtualinvoke $r6.<com.autostart.AutoStartActivity$2: void onClick(android.view.View)>($r1),0,<com.autostart.AutoStartActivity$2: void onClick(android.view.View)>
r2 = new android.content.Intent,0,<android.content.Intent: void <clinit>()>
"$r3 = staticinvoke <android.net.Uri: android.net.Uri parse(java.lang.String)>(""market://details?id=com.discolight"")",0,<android.net.Uri: android.net.Uri parse(java.lang.String)>
"$r3 = staticinvoke <android.net.Uri: android.net.Uri parse(java.lang.String)>(""market://details?id=com.discolight"")",0,<android.net.Uri: void <clinit>()>
"specialinvoke r2.<android.content.Intent: void <init>(java.lang.String)>(""android.intent.action.VIEW"")",0,<android.content.Intent: void <init>(java.lang.String)>
virtualinvoke r2.<android.content.Intent: android.content.Intent setData(android.net.Uri)>($r3),0,<android.content.Intent: android.content.Intent setData(android.net.Uri)>
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
"specialinvoke $r5.<com.autostart.AutoStartActivity$5: void <init>(com.autostart.AutoStartActivity,android.view.View)>($r0, $r1)",0,"<com.autostart.AutoStartActivity$5: void <init>(com.autostart.AutoStartActivity,android.view.View)>"
"virtualinvoke $r5.<com.autostart.AutoStartActivity$5: void onClick(android.content.DialogInterface,int)>(null, 0)",0,"<com.autostart.AutoStartActivity$5: void onClick(android.content.DialogInterface,int)>"
$r3 = staticinvoke <com.autostart.AutoStartActivity: android.widget.LinearLayout access$15(com.autostart.AutoStartActivity)>($r2),0,<android.app.Activity: void <clinit>()>
$r11 = staticinvoke <com.autostart.AutoStartActivity$PInfo: java.lang.String access$1(com.autostart.AutoStartActivity$PInfo)>($r10),0,<com.autostart.AutoStartActivity$PInfo: java.lang.String access$1(com.autostart.AutoStartActivity$PInfo)>
