method,offset,target
<boot>,0,<dummyMainClass: com.autostart.TimeOutReceiver dummyMainMethod_com_autostart_TimeOutReceiver(android.content.Intent)>
<boot>,0,<dummyMainClass: com.autostart.MyBroadcastreceiver dummyMainMethod_com_autostart_MyBroadcastreceiver(android.content.Intent)>
<boot>,0,<dummyMainClass: com.autostart.TimeOutHomeReceiver dummyMainMethod_com_autostart_TimeOutHomeReceiver(android.content.Intent)>
<boot>,0,<dummyMainClass: com.autostart.AutoStartActivity dummyMainMethod_com_autostart_AutoStartActivity(android.content.Intent)>
<dummyMainClass: com.autostart.TimeOutReceiver dummyMainMethod_com_autostart_TimeOutReceiver(android.content.Intent)>,0,<dummyMainClass: com.autostart.TimeOutReceiver dummyMainMethod_com_autostart_TimeOutReceiver(android.content.Intent)>
<dummyMainClass: com.autostart.MyBroadcastreceiver dummyMainMethod_com_autostart_MyBroadcastreceiver(android.content.Intent)>,0,<dummyMainClass: com.autostart.MyBroadcastreceiver dummyMainMethod_com_autostart_MyBroadcastreceiver(android.content.Intent)>
<dummyMainClass: com.autostart.TimeOutHomeReceiver dummyMainMethod_com_autostart_TimeOutHomeReceiver(android.content.Intent)>,0,<dummyMainClass: com.autostart.TimeOutHomeReceiver dummyMainMethod_com_autostart_TimeOutHomeReceiver(android.content.Intent)>
<dummyMainClass: com.autostart.AutoStartActivity dummyMainMethod_com_autostart_AutoStartActivity(android.content.Intent)>,0,<dummyMainClass: com.autostart.AutoStartActivity dummyMainMethod_com_autostart_AutoStartActivity(android.content.Intent)>
$r1 = new android.view.View,0,<android.view.View: void <clinit>()>
$r1 = new android.view.View,0,<android.view.View: void <clinit>()>
$r1 = new android.view.View,0,<android.view.View: void <clinit>()>
$r0 = new com.autostart.AutoStartActivity,0,<android.app.Activity: void <clinit>()>
$r1 = new android.view.View,0,<android.view.View: void <clinit>()>
<com.autostart.AutoStartActivity$3: void <init>(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity$3: void <init>(com.autostart.AutoStartActivity)>
"<com.autostart.AutoStartActivity$3: void onCheckedChanged(android.widget.CompoundButton,boolean)>",0,"<com.autostart.AutoStartActivity$3: void onCheckedChanged(android.widget.CompoundButton,boolean)>"
<com.autostart.AutoStartActivity: java.util.List access$7(com.autostart.AutoStartActivity)>,0,<android.app.Activity: void <clinit>()>
"<com.autostart.AutoStartActivity: void access$8(com.autostart.AutoStartActivity,com.autostart.AutoStartActivity$IconifiedTextListAdapter)>",0,"<com.autostart.AutoStartActivity: void access$8(com.autostart.AutoStartActivity,com.autostart.AutoStartActivity$IconifiedTextListAdapter)>"
<com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>
<com.autostart.AutoStartActivity: com.autostart.AutoStartActivity$IconifiedTextListAdapter access$10(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity: com.autostart.AutoStartActivity$IconifiedTextListAdapter access$10(com.autostart.AutoStartActivity)>
