method,offset,target
staticinvoke <dummyMainClass: org.intoorbit.spectrum.SpectrumActivity dummyMainMethod_org_intoorbit_spectrum_SpectrumActivity(android.content.Intent)>(null),0,<dummyMainClass: org.intoorbit.spectrum.SpectrumActivity dummyMainMethod_org_intoorbit_spectrum_SpectrumActivity(android.content.Intent)>
staticinvoke <dummyMainClass: org.intoorbit.spectrum.SettingsActivity dummyMainMethod_org_intoorbit_spectrum_SettingsActivity(android.content.Intent)>(null),0,<dummyMainClass: org.intoorbit.spectrum.SettingsActivity dummyMainMethod_org_intoorbit_spectrum_SettingsActivity(android.content.Intent)>
$r0 = new org.intoorbit.spectrum.SpectrumActivity,0,<org.intoorbit.spectrum.SpectrumActivity: void <clinit>()>
$r2 = newarray (java.lang.String)[1],0,<java.lang.String: void <clinit>()>
$r1 = new android.view.View,0,<android.view.View: void <clinit>()>
$r0 = new org.intoorbit.spectrum.SpectrumActivity,0,<android.app.Activity: void <clinit>()>
$r0 = new org.intoorbit.spectrum.SettingsActivity,0,<org.intoorbit.spectrum.SettingsActivity: void <clinit>()>
$r1 = new android.view.View,0,<android.view.View: void <clinit>()>
$r0 = new org.intoorbit.spectrum.SettingsActivity,0,<android.app.Activity: void <clinit>()>
$r1 = newarray (java.lang.String)[4],0,<java.lang.String: void <clinit>()>
$r5 = staticinvoke <java.util.Collections: java.util.Set unmodifiableSet(java.util.Set)>($r0),0,<java.util.Collections: java.util.Set unmodifiableSet(java.util.Set)>
$r4 = staticinvoke <java.util.Arrays: java.util.List asList(java.lang.Object[])>($r1),0,<java.util.Arrays: java.util.List asList(java.lang.Object[])>
<org.intoorbit.spectrum.SettingsActivity: java.util.Set a> = $r5,0,<android.app.Activity: void <clinit>()>
$r5 = staticinvoke <java.util.Collections: java.util.Set unmodifiableSet(java.util.Set)>($r0),0,<java.util.Collections: void <clinit>()>
$r3 = virtualinvoke $r2.<java.lang.Class: java.lang.String getName()>(),0,<java.lang.Class: java.lang.String getName()>
$r3 = virtualinvoke $r2.<java.lang.Class: java.lang.String getName()>(),0,<java.lang.Class: java.lang.String getName()>
$r3 = virtualinvoke $r2.<java.lang.Class: java.lang.String getName()>(),0,<java.lang.Class: java.lang.String getName()>
$r3 = virtualinvoke $r2.<java.lang.Class: java.lang.String getName()>(),0,<java.lang.Class: java.lang.String getName()>
"specialinvoke $r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(""Stub!"")",0,<java.lang.RuntimeException: void <init>(java.lang.String)>
"specialinvoke $r1.<java.lang.RuntimeException: void <init>(java.lang.String)>(""Stub!"")",0,<java.lang.RuntimeException: void <init>(java.lang.String)>
specialinvoke r0.<java.lang.Exception: void <init>()>(),0,<java.lang.Exception: void <init>()>
"specialinvoke $r1.<java.lang.RuntimeException: void <init>(java.lang.String)>(""Stub!"")",0,<java.lang.RuntimeException: void <init>(java.lang.String)>
specialinvoke r0.<java.lang.Throwable: void <init>()>(),0,<java.lang.Throwable: void <init>()>
"specialinvoke $r1.<java.lang.RuntimeException: void <init>(java.lang.String)>(""Stub!"")",0,<java.lang.RuntimeException: void <init>(java.lang.String)>
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
null,0,<java.lang.Object: void finalize()>
